ts=17181391700, type=CALIB_MAG_SET, x=130233, y=129930, z=132102
ts=17181391732, type=CALIB_MAG_RESET, x=132157, y=130226, z=131552
ts=17181391740, type=DATA_MAG, x=132151, y=130240, z=131547
ts=17181391752, type=DATA_MAG, x=132069, y=130305, z=131583
ts=17181391760, type=DATA_MAG, x=132144, y=130249, z=131559
ts=17181391772, type=DATA_MAG, x=132115, y=130261, z=131579
ts=17181391780, type=DATA_MAG, x=132138, y=130258, z=131565
ts=17181391788, type=DATA_MAG, x=132144, y=130251, z=131566
ts=17181391800, type=DATA_MAG, x=132151, y=130252, z=131555
ts=17181391808, type=DATA_MAG, x=132145, y=130256, z=131567
ts=17181391820, type=DATA_MAG, x=132147, y=130263, z=131569
ts=17181391828, type=DATA_MAG, x=132144, y=130258, z=131577
ts=17181391836, type=DATA_MAG, x=132148, y=130267, z=131579
ts=17181391848, type=DATA_MAG, x=132165, y=130271, z=131573
ts=17181391856, type=DATA_MAG, x=132169, y=130284, z=131565
ts=17181391868, type=DATA_MAG, x=132151, y=130271, z=131584
ts=17181391876, type=DATA_MAG, x=132165, y=130277, z=131593
ts=17181391884, type=DATA_MAG, x=132153, y=130267, z=131589
ts=17181391896, type=DATA_MAG, x=132164, y=130287, z=131573
ts=17181391904, type=DATA_MAG, x=132157, y=130276, z=131585
ts=17181391916, type=DATA_MAG, x=132171, y=130286, z=131585
ts=17181391924, type=DATA_MAG, x=132163, y=130280, z=131575
ts=17181391932, type=DATA_MAG, x=132172, y=130280, z=131590
ts=17181391944, type=DATA_MAG, x=132163, y=130276, z=131580
ts=17181391952, type=DATA_MAG, x=132168, y=130290, z=131592
ts=17181391964, type=DATA_MAG, x=132166, y=130289, z=131578
ts=17181391972, type=DATA_MAG, x=132169, y=130295, z=131598
ts=17181391980, type=DATA_MAG, x=132175, y=130291, z=131583
ts=17181391992, type=DATA_MAG, x=132168, y=130286, z=131612
ts=17181392000, type=DATA_MAG, x=132168, y=130294, z=131590
ts=17181392012, type=DATA_MAG, x=132167, y=130294, z=131600
ts=17181392020, type=DATA_MAG, x=132174, y=130293, z=131593
ts=17181392028, type=DATA_MAG, x=132171, y=130304, z=131600
ts=17181392040, type=DATA_MAG, x=132175, y=130292, z=131592
ts=17181392048, type=DATA_MAG, x=132161, y=130297, z=131606
ts=17181392060, type=DATA_MAG, x=132175, y=130298, z=131592
ts=17181392068, type=DATA_MAG, x=132164, y=130300, z=131597
ts=17181392076, type=DATA_MAG, x=132166, y=130315, z=131596
ts=17181392088, type=DATA_MAG, x=132164, y=130307, z=131606
ts=17181392096, type=DATA_MAG, x=132169, y=130312, z=131590
ts=17181392108, type=DATA_MAG, x=132156, y=130306, z=131602
ts=17181392116, type=DATA_MAG, x=132168, y=130316, z=131597
ts=17181392124, type=DATA_MAG, x=132165, y=130295, z=131591
ts=17181392136, type=DATA_MAG, x=132168, y=130315, z=131606
ts=17181392144, type=DATA_MAG, x=132152, y=130324, z=131605
