ts=17187240164, type=CALIB_MAG_SET, x=126117, y=131225, z=135500
ts=17187240196, type=CALIB_MAG_RESET, x=136224, y=129107, z=128173
ts=17187240204, type=DATA_MAG, x=136233, y=129107, z=128208
ts=17187240216, type=DATA_MAG, x=136239, y=129089, z=128191
ts=17187240224, type=DATA_MAG, x=136241, y=129123, z=128176
ts=17187240236, type=DATA_MAG, x=136166, y=129121, z=128212
ts=17187240244, type=DATA_MAG, x=136223, y=129113, z=128203
ts=17187240252, type=DATA_MAG, x=136215, y=129119, z=128189
ts=17187240264, type=DATA_MAG, x=136239, y=129114, z=128214
ts=17187240272, type=DATA_MAG, x=136222, y=129108, z=128202
ts=17187240284, type=DATA_MAG, x=136235, y=129114, z=128217
ts=17187240292, type=DATA_MAG, x=136231, y=129115, z=128198
ts=17187240300, type=DATA_MAG, x=136234, y=129126, z=128227
ts=17187240312, type=DATA_MAG, x=136210, y=129133, z=128221
ts=17187240320, type=DATA_MAG, x=136253, y=129124, z=128219
ts=17187240332, type=DATA_MAG, x=136246, y=129128, z=128224
ts=17187240340, type=DATA_MAG, x=136258, y=129127, z=128228
ts=17187240348, type=DATA_MAG, x=136242, y=129138, z=128219
ts=17187240360, type=DATA_MAG, x=136255, y=129123, z=128218
ts=17187240368, type=DATA_MAG, x=136248, y=129139, z=128223
ts=17187240380, type=DATA_MAG, x=136256, y=129131, z=128225
ts=17187240388, type=DATA_MAG, x=136245, y=129140, z=128222
ts=17187240396, type=DATA_MAG, x=136249, y=129130, z=128232
ts=17187240408, type=DATA_MAG, x=136244, y=129141, z=128226
ts=17187240416, type=DATA_MAG, x=136250, y=129135, z=128235
ts=17187240428, type=DATA_MAG, x=136251, y=129153, z=128245
ts=17187240436, type=DATA_MAG, x=136244, y=129135, z=128243
ts=17187240444, type=DATA_MAG, x=136242, y=129152, z=128229
ts=17187240456, type=DATA_MAG, x=136232, y=129145, z=128238
ts=17187240464, type=DATA_MAG, x=136242, y=129164, z=128244
ts=17187240476, type=DATA_MAG, x=136252, y=129138, z=128224
ts=17187240484, type=DATA_MAG, x=136252, y=129158, z=128254
ts=17187240492, type=DATA_MAG, x=136239, y=129149, z=128233
ts=17187240504, type=DATA_MAG, x=136248, y=129162, z=128244
ts=17187240512, type=DATA_MAG, x=136241, y=129159, z=128233
ts=17187240524, type=DATA_MAG, x=136255, y=129162, z=128244
ts=17187240532, type=DATA_MAG, x=136239, y=129167, z=128258
ts=17187240540, type=DATA_MAG, x=136256, y=129160, z=128242
ts=17187240552, type=DATA_MAG, x=136240, y=129159, z=128228
ts=17187240560, type=DATA_MAG, x=136249, y=129154, z=128249
ts=17187240572, type=DATA_MAG, x=136241, y=129167, z=128231
ts=17187240580, type=DATA_MAG, x=136250, y=129162, z=128237
ts=17187240588, type=DATA_MAG, x=136238, y=129172, z=128237
ts=17187240600, type=DATA_MAG, x=136254, y=129159, z=128240
ts=17187240608, type=DATA_MAG, x=136241, y=129170, z=128249
ts=17187240620, type=DATA_MAG, x=136254, y=129159, z=128235
ts=17187240628, type=DATA_MAG, x=136246, y=129175, z=128241
ts=17187240636, type=DATA_MAG, x=136254, y=129158, z=128244
ts=17187240648, type=DATA_MAG, x=136246, y=129193, z=128241
ts=17187240656, type=DATA_MAG, x=136252, y=129164, z=128252
ts=17187240668, type=DATA_MAG, x=136251, y=129180, z=128249
ts=17187240676, type=DATA_MAG, x=136247, y=129165, z=128241
ts=17187240684, type=DATA_MAG, x=136246, y=129193, z=128228
ts=17187240696, type=DATA_MAG, x=136243, y=129167, z=128228
ts=17187240704, type=DATA_MAG, x=136248, y=129192, z=128247
ts=17187240716, type=DATA_MAG, x=136246, y=129157, z=128243
ts=17187240724, type=DATA_MAG, x=136249, y=129183, z=128251
ts=17187240732, type=DATA_MAG, x=136236, y=129176, z=128244
ts=17187240744, type=DATA_MAG, x=136236, y=129196, z=128260
ts=17187240752, type=DATA_MAG, x=136237, y=129182, z=128242
ts=17187240764, type=DATA_MAG, x=136249, y=129192, z=128247
ts=17187240772, type=DATA_MAG, x=136196, y=129224, z=128253
ts=17187240780, type=DATA_MAG, x=136263, y=129182, z=128254
ts=17187240792, type=DATA_MAG, x=136249, y=129186, z=128249
ts=17187240800, type=DATA_MAG, x=136268, y=129184, z=128252
ts=17187240812, type=DATA_MAG, x=136252, y=129185, z=128238
ts=17187240820, type=DATA_MAG, x=136261, y=129184, z=128249
ts=17187240828, type=DATA_MAG, x=136253, y=129187, z=128248
ts=17187240840, type=DATA_MAG, x=136248, y=129196, z=128257
ts=17187240848, type=DATA_MAG, x=136246, y=129213, z=128251
ts=17187240860, type=DATA_MAG, x=136261, y=129192, z=128257
ts=17187240868, type=DATA_MAG, x=136248, y=129210, z=128249
ts=17187240880, type=DATA_MAG, x=136266, y=129189, z=128258
ts=17187240888, type=DATA_MAG, x=136258, y=129194, z=128249
ts=17187240896, type=DATA_MAG, x=136261, y=129187, z=128245
ts=17187240908, type=DATA_MAG, x=136257, y=129202, z=128254
ts=17187240916, type=DATA_MAG, x=136262, y=129192, z=128247
ts=17187240928, type=DATA_MAG, x=136262, y=129203, z=128258
ts=17187240936, type=DATA_MAG, x=136257, y=129185, z=128238
ts=17187240944, type=DATA_MAG, x=136262, y=129207, z=128248
ts=17187240956, type=DATA_MAG, x=136258, y=129182, z=128244
ts=17187240964, type=DATA_MAG, x=136259, y=129208, z=128242
ts=17187240976, type=DATA_MAG, x=136248, y=129200, z=128244
ts=17187240984, type=DATA_MAG, x=136262, y=129206, z=128257
ts=17187240992, type=DATA_MAG, x=136249, y=129206, z=128249
ts=17187241004, type=DATA_MAG, x=136269, y=129203, z=128258
ts=17187241012, type=DATA_MAG, x=136255, y=129199, z=128243
ts=17187241024, type=DATA_MAG, x=136269, y=129202, z=128259
ts=17187241032, type=DATA_MAG, x=136183, y=129241, z=128254
ts=17187241040, type=DATA_MAG, x=136156, y=129254, z=128288
ts=17187241052, type=DATA_MAG, x=136220, y=129221, z=128254
ts=17187241060, type=DATA_MAG, x=136221, y=129198, z=128260
ts=17187241072, type=DATA_MAG, x=136217, y=129214, z=128255
ts=17187241080, type=DATA_MAG, x=136219, y=129209, z=128261
ts=17187241088, type=DATA_MAG, x=136218, y=129227, z=128244
ts=17187241100, type=DATA_MAG, x=136232, y=129205, z=128253
ts=17187241108, type=DATA_MAG, x=136222, y=129219, z=128254
ts=17187241120, type=DATA_MAG, x=136223, y=129207, z=128246
ts=17187241128, type=DATA_MAG, x=136226, y=129218, z=128255
ts=17187241136, type=DATA_MAG, x=136248, y=129206, z=128247
ts=17187241148, type=DATA_MAG, x=136242, y=129233, z=128248
ts=17187241156, type=DATA_MAG, x=136243, y=129208, z=128257
ts=17187241168, type=DATA_MAG, x=136237, y=129226, z=128262
ts=17187241176, type=DATA_MAG, x=136246, y=129203, z=128248
ts=17187241184, type=DATA_MAG, x=136253, y=129213, z=128258
ts=17187241196, type=DATA_MAG, x=136246, y=129206, z=128257
ts=17187241204, type=DATA_MAG, x=136213, y=129242, z=128330
ts=17187241216, type=DATA_MAG, x=136242, y=129209, z=128253
ts=17187241224, type=DATA_MAG, x=136254, y=129228, z=128254
ts=17187241232, type=DATA_MAG, x=136236, y=129216, z=128245
ts=17187241244, type=DATA_MAG, x=136254, y=129225, z=128256
ts=17187241252, type=DATA_MAG, x=136245, y=129218, z=128257
ts=17187241264, type=DATA_MAG, x=136255, y=129216, z=128262
ts=17187241272, type=DATA_MAG, x=136243, y=129227, z=128251
ts=17187241280, type=DATA_MAG, x=136255, y=129215, z=128258
ts=17187241292, type=DATA_MAG, x=136240, y=129220, z=128242
ts=17187241300, type=DATA_MAG, x=136251, y=129212, z=128269
ts=17187241312, type=DATA_MAG, x=136234, y=129237, z=128251
ts=17187241320, type=DATA_MAG, x=136250, y=129229, z=128248
ts=17187241328, type=DATA_MAG, x=136244, y=129230, z=128250
ts=17187241340, type=DATA_MAG, x=136250, y=129211, z=128253
ts=17187241348, type=DATA_MAG, x=136249, y=129226, z=128249
ts=17187241360, type=DATA_MAG, x=136251, y=129224, z=128259
ts=17187241368, type=DATA_MAG, x=136248, y=129233, z=128256
ts=17187241376, type=DATA_MAG, x=136248, y=129227, z=128256
ts=17187241388, type=DATA_MAG, x=136243, y=129230, z=128250
ts=17187241396, type=DATA_MAG, x=136250, y=129219, z=128258
ts=17187241408, type=DATA_MAG, x=136238, y=129249, z=128263
ts=17187241416, type=DATA_MAG, x=136245, y=129227, z=128256
ts=17187241424, type=DATA_MAG, x=136248, y=129248, z=128242
ts=17187241436, type=DATA_MAG, x=136165, y=129253, z=128265
ts=17187241444, type=DATA_MAG, x=136218, y=129245, z=128254
